id,smiles,concentration,shifts/heights
AS-5731-06-D04,CN(C)C1=NC(=CC(=C1)C(F)(F)F)C#N,104.5289755228668,-65.20671924425376,1
1R-0641-03-F06,FC(F)(F)C=2(C1(=NN=C(N1C=CC=2)C(F)F)),95.80022257748671,-63.71941686048578,1,-119.52790666574394,1
FS-2931-03-B03,FC(F)(F)C2(=CC1(=C(C(=O)CC1)C=C2)),44.29145018606136,-62.55196445172166,1
DA-0842-04-C03,FC(F)(F)C2(=CC(C1(=NNC(=C1)N))=CC=C2),59.36984997390823,-62.373381549011164,1
PS-6882-02-E07,FC(F)(F)C1(=NC2(=CC(C(=O)O)=CC=C2(N1C(C)C))),106.38804639712937,-62.18946781338394,1
TS-03277-03-G05,FC(F)(F)C1(=CC(=CC=C1)C2(C(=O)O)(CC2)),79.27459164445945,-61.97268060810354,1
AS-5117-01-A02,FC(F)(F)C1(=NNC(=C1)C(C)(C)C),114.20391846598604,-61.64039202296064,1,-61.66438077108592,1
PS-6431-01-G06,FC(F)(F)C2(=CC1(=C(NC(C1)=O)C=C2)),94.74923873748362,-60.971372491910884,1
FS-2640-01-C02,FC(F)(F)C2(=CC1(=C(NN=C1)C=C2)),128.11333330948008,-60.48448975218277,1
PS-8104-06-D02,FC(F)(F)OC1(=CC=C(C(N)C)C=C1),16.564482543177895,-57.69291024812124,1
DS-7111-05-C02,COC1=NC=C(F)C(N)=N1,94.95596516,-164.41174288031445,1
SS-4432-05-C11,FC1(=CN=C2(NC=CC2(=C1))),72.14008412586581,-139.48921052244364,1
TS-02206-05-H12,FC1(=C(OCCC#N)C=CC=C1),94.89613611044585,-135.05395753572336,1
GC-0754-04-F10,FC1(=C(C(F)=CN=C1)C(=O)O),87.79015547372875,-128.9670348169692,1
MS-0024-05-C06,FC1(=C(NC(=O)C)C=CC=C1),63.78185988638709,-124.28300962746812,1
1W-0906-02-H02,FC2(=CC=C(N1(CCN(CC#C)CC1))C=C2),96.88233055289068,-122.09647965945555,1
SS-4957-05-B11,FC(F)C1(=NC(O)=C2(C=CC=CC2(=N1))),103.4671224835041,-120.30265438297553,1
FS-1589-03-F09,FC1(=C(C(OC)=CC=C1)C(=O)O),92.51163579747931,-118.29826120628464,1
MS-0200-05-F03,FC2(=C(NC(=O)C1(C(C(=O)O)C1))C=C(F)C=C2),135.64678629118774,-117.70653875252748,1,-117.73496986141672,1,-131.11891437102298,1,-131.1331299254676,1,-131.14734547991222,1
FS-2196-03-A10,FC1(=C(C(C(=O)O)=CC=C1)C),97.18054099589513,-116.93356797960146,1
9R-0342-06-F04,FC1=CC=C(CNC(=O)C2=CC=CN2)C=C1,125.17604698698678,-116.03709957743786,1
AS-5545-06-C04,OCC1CN(CC2=CC=C(F)C=C2)C(=O)C1,135.85249942252534,-115.22858991840029,1
4Z-0721-06-B01,FC1(=CC=C(C(O)CN)C=C1),109.38032170424272,-114.05047584380272,1
FS-3514-06-E05,S1(CC(NCC1)C2(=CC=C(F)C=C2)),83.34633144584508,-113.26506646073767,1
SS-3605-05-G10,FC1(=C(C=CC=C1)C2(C#N)(CCC(=O)CC2)),93.89237422005563,-112.1242682165572,1,-112.39347527885212,1
FS-1039-06-G02,FC2(=CC(N1(C=NC=C1))=CC=C2),109.26638073737494,-111.27844272710253,1
TS-02099-03-F04,FC(F)C1(=CC=C(CO)C=C1),86.32361782141255,-109.5166024481229,1
PS-9071-02-F08,FC1(=CC=C(C(=O)N)C=C1),109.23040012114274,-107.54508274108517,1
PS-7428-02-A10,S(=O)(=O)(C1(=CC=C(F)C=C1))C2(=CC=C(F)C=C2),97.76027051156342,-103.51675000034201,1
PS-8445-02-H08,FC(F)OC1(=C(C(=O)O)C=CC=C1),103.78718898548738,-81.04373536770915,1
